   PID TTY          TIME CMD
 74664 pts/53   00:00:00 bash
 74722 ?        00:00:00 sshd
 74800 ?        00:00:00 sshd
 74801 pts/68   00:00:00 bash
 75395 ?        00:00:00 kworker/34:1
 75651 ?        00:00:00 sshd
 75688 ?        00:00:00 sshd
 75692 pts/62   00:00:00 bash
 75946 pts/68   00:00:00 vim
 75947 ?        00:00:00 kworker/32:0
 76163 ?        00:00:00 sshd
 76184 ?        00:00:00 sshd
 76251 ?        00:00:00 sshd
 76252 pts/60   00:00:00 bash
 76386 ?        00:00:00 kworker/31:1
 76834 ?        00:00:00 sshd
 76835 pts/35   00:00:00 bash
 76930 ?        00:00:00 kworker/15:0
 77042 ?        00:00:00 kworker/9:2
 77063 ?        00:00:00 kworker/7:0
 77066 ?        00:00:00 kworker/18:0
 78038 pts/62   00:00:00 vim
 78126 ?        00:00:00 kworker/35:1H
 78129 pts/51   00:00:00 vim
 78277 pts/53   00:00:01 vim
 78362 ?        00:00:00 kworker/39:1H
 78371 ?        00:00:00 sshd
 78410 ?        00:00:00 sshd
 78414 pts/77   00:00:00 bash
 78532 ?        00:00:00 kworker/31:0
 78692 ?        00:00:00 kworker/u545:7
 78764 ?        00:00:00 kworker/27:1
 78823 ?        00:00:00 kworker/1:1
 78892 ?        00:00:00 kworker/14:2
 78934 ?        00:00:36 cpptools
 79030 ?        00:00:00 sshd
 79032 ?        00:00:00 sshd
 79035 ?        00:00:00 sshd
 79040 ?        00:00:00 sshd
 79041 pts/32   00:00:00 bash
 79042 ?        00:00:00 sshd
 79103 ?        00:00:00 sshd
 79104 pts/71   00:00:00 bash
 79137 ?        00:00:00 cpptools-srv <defunct>
 79194 pts/32   00:00:00 bash
 79195 pts/32   00:00:00 scl
 79196 pts/32   00:00:00 bash
 79201 pts/32   00:00:00 bash
 79226 pts/71   00:09:15 python3
 79306 ?        00:00:00 kworker/9:0
 79419 ?        00:00:00 kworker/25:0
 79466 ?        00:00:00 kworker/u546:0
 79716 ?        00:00:00 kworker/34:0
 79792 ?        00:00:00 kworker/3:0
 79805 ?        00:00:00 kworker/5:0
 79806 ?        00:00:00 kworker/29:0
 79812 ?        00:00:00 sshd
 79814 ?        00:00:00 kworker/23:1
 79815 ?        00:00:00 kworker/47:0
 79839 ?        00:00:00 sshd
 79848 ?        00:00:00 sshd
 79849 pts/25   00:00:00 bash
 79959 ?        00:00:00 sshd
 79960 pts/29   00:00:00 bash
 80250 ?        00:00:00 kworker/31:2
 80257 ?        00:00:00 sshd
 80279 ?        00:00:00 sshd
 80280 pts/70   00:00:00 bash
 80417 pts/16   00:00:00 ssh
 80738 ?        00:00:00 kworker/u546:5
 80788 ?        00:00:00 kworker/6:1
 80798 ?        00:00:00 sshd
 80811 ?        00:00:00 sshd
 80812 pts/48   00:00:00 zsh
 81222 ?        00:00:00 kworker/28:1
 81223 ?        00:00:00 sshd
 81272 ?        00:00:00 sshd
 81273 pts/78   00:00:00 bash
 81687 pts/18   00:00:00 vim
 81697 ?        00:00:00 kworker/11:2
 81719 ?        00:00:00 sshd
 81725 ?        00:00:00 sshd
 81726 pts/81   00:00:00 bash
 81796 pts/2    00:00:00 vim
 82045 pts/41   00:00:00 vim
 82238 ?        00:00:00 pickup
